pid,helpful,score,text,category
B00007E7KA,1/2,5.0,"This watch is simple to use and the main purpose of my purchase was to get a watch that I could look at quickly and get the time of day. It helps me better than pulling my PDA and look for time.So far it has been functioning well and the product was shipped by the seller on time (in fact earlier than expected).If this one goes bad, will definitely buy another one. Will stick with Casio though. Great watch for the price.",watch
B00020J16M,1/1,3.0,"At least this is what I would like to think. I absolutely loved my watch. I thought it fit and looked great. I loved the easy button for the light up display as I often run at night. However, the first time I decided to try out my watch in the water it got water inside. I was so disappointed, but thought it may dry out. However, the next day it just got worse until the whole watch was ruined. I am think of purchasing another, but I may always be afraid to take it in the water!",watch
B000936JGC,0/0,4.0,"I have owned this watch for at least two years. The nicest thing about it beyond the basics is that the back light is bright enough to use as an emergency light. I camp alot and have frequently used the backlight to find my way in and out of my tent at night.Unfortunately, the date feature broke within a week of owning it, but I can get by without that.Also, as shown in the picture, it can be hard to distinguish the hour hand from the minute hand without checking closely.",watch
B000FGEE7E,1/1,5.0,"The BEST Watchwinder I have owned. It's on 24/7/365, and my automatic watches keep perfect time, even when I'm gone for weeks. It's silent, good-looking, and VERY reasonably priced.",watch
B000GX6SKW,0/0,3.0,"It's a watch! What can I say, it has a date but no day on it. I don't like the watch band so I replaced it with a twist""o""flex band a lot lighter in weight now. It's made in China but what isn't now a days and that's one of it's down falls for me.",watch
B0009P66Z4,0/0,2.0,"I own at least 30 Invictas and love most of them. However, their current rage for their most attractive styles is to make BIG watches, 46-50 mil and above. I wanted something in the 42-43 mil range which is how this is advertised. I also liked the fact that the movement was apparently the Myiota movement I have in several of my Invicta automatics. Excellent durable movement. THIS WATCH IS NOT 43 MIL IT IS 40 (I already own one in 40 mil with a nicer dial) AND IT DOES NOT HAVE A MYIOTA MOVEMENT. Sent it back disappointed. By the way, I do own a 43 mil Invicta in brown with a Myiota movement so I know they make or at least made them. I'm growing wary of the new Invictas -- not just size wise -- they are looking somewhat cheaper in quality to me these days.",watch
B000FF5DCU,5/7,3.0,"It's got all the bells and whistles - solar power, world time zones, stopwatch, alarm, lighting and synchronization with NIST atomic time. Just set the watch to your local time zone and you'll never have to set it again - it always has Correct Time (TM). Unfortunately, this watch is a real beast. It's nearly half an inch thick. It's so bulky it's almost comical. If you're a 350 pound linebacker or scuba diver, this isn't such a bad thing, but I'm not, and this thing is really clunky on my wrist.Overall, the features are really nice, and this watch is sturdy enough it could survive being run over with a car, but it's a real monster on the wrist.",watch
B000E8J5LI,0/0,4.0,This is a nice watch. It goes with everything and I have had a lot of nice compliments about it.The only thing that I don't like is that the glow light only lasts for 3 seconds. This makes it very difficult to set the alarm on it in the dark.Other than that no complaints.,watch
B0000UIVMY,3/14,4.0,This watch sells directly from Timex for $54.95. Don't be duped.,watch
B000HX7F08,0/0,5.0,I purchased this watch case for my father in law who is a watch collector. We bought him this case for Father's Day and he loved it so much he asked for another. The case is good quality and looks very expensive for the price.,watch
B000AYW0NG,3/3,3.0,"Hi,I have to say this is a great watch with all the useful functions. I especially love the 3-time-zone function for someone like me who travels a bit and has families oversea. However, I have to agree with a previous review regarding the color of the watch. The color of the watch I receive is totally different from what it is shown on Amazon.com. Honestly, there is only two colors I can tell - sliver and black. There is no purple as far as I can tell.",watch
B0009NXS34,3/3,5.0,"My 5yo and 6yo daughters asked for a ""real watch"" after they each received an analog watch for Christmas last year, neither of which kept the correct time. We purchased this watch (and the one in pink) after reading the reviews and our own experience with the Timex brand. This watch has more than exceeded their (and our) expectations. The soft-buttery leather strap fits nicely around their wrists - it is not too big (they can wear it on the tightest fitting). The watch face is large enough for them to read the time, altho' as young girls it doesn't appear to be too big in proportion to their body. As well, second-hand has helped them learn more about time. The Indiglo Light is a bonus for fun, altho' now they insist on wearing their watches to bed (even tho' they each have a digital alarm clock). As well, the water-resistant feature is a plus because they still like to get messy and clean up on their own. This is a great watch at an excellent price that I expect they will own for some time and will grow with each of them into their 'tween years.",watch
B000GAYQT0,0/0,5.0,Dependable and looks nice on when I need a change in winter. Usually disappears under long sleeves. Band is a notch shorter than most I have though.,watch
B000H6758C,0/0,5.0,This arrived on time and was just what I was looking for. A small size watch for my daughter to wear everywhere. She likes it and it is small enought to look right on her small wrist.,watch
B00068TJ30,2/2,5.0,"Had everything I was looking for: two-tone metal for both silver/gold; water resistant; appropriate for dressy or casual; stellar reviews; fabulous deal (looks almost the same as the new version), brand with consistent reliability. The watch didn't disappoint; love it. (Minor wishes: Wish the gold was just a little more gold and the mother of pearl face just a little more pearlized and the date a little bigger). However, it's still a 5-star value.",watch
B000PTP8H6,0/0,5.0,I have both yellow & white gold jewelry...Love that is water proof. Seiko is a really good watch for a third of the price on Amazon. I got a really good deal with amazon. You are really good with your returns in the past. I would recomend this watch for the office or just wearing it around the house. The watch is beautiful!,watch
B000AQVRWO,17/17,5.0,"Casio has been steadily improving their DataBank Calculator Watches and it really shows!-I've learned the expensive way that opening the case to replace the battery in DataBanks invariably results in condensation build up in the case (7 out of 7 times), and the ensuing backwards E's, upside down L's, and other assorted random characters that plague the display within three months make the watch unusable. Its cheaper to just buy a new watch when the battery goes tits-up.-It now takes two fingers, pressing on two buttons on opposite sides of the case to turn the light on. This sure beats a single large button that constantly gets bumped, wasting battery life. The display has been dramatically improved to show day-of-the-week in large font, right above the large, easy to read time display.-The algabraic function is now clearly displayed upon pushing the corresponding button in calculator mode; very important when you are trying to compute your vehicle's mileage while road-raging through rush-hour traffic on icy streets in the darkness!-Current time is now ALWAYS displayed (albeit in a much smaller font) whilst in calculator, stopwatch, dual-time, and alarm set modes!-The buttons on the front pad seem larger and easier to operate, with less effort, yet providing a more definitive tactile and aural acknowledgement; in fact, this watch uses multiple tones, at differing volume levels. This makes the watch more ergonomic and lends a feeling of precision and control.-Finally, while I don't believe for a SECOND that the battery will actually last ten years as Casio foists, even lasting five years will make this watch an absolute bargain.No iPAD, iPHONE, or other iGADGET will EVER replace a CASIO nerd watch on my wrist! WELL DONE, CASIO!",watch
B000A7G45I,7/11,1.0,Bought this pin remover last week and have already broken all 4 pins! No instructions came with the device and the little folded piece of paper that came with the device with a web site for instructions was a hoax as they said nothing there about this particular device. What a waste of time and money!,watch
B000AYSH5Q,2/2,1.0,"I bought this watch and on day two brought it to the pool where I waded in to my waist. The watch filled up with water and ruined the crystals. Spend money at a store or somewhere else, because this watch is bogus and not resistant to water at all!!!!",watch
B000P5QZUE,0/0,5.0,Gave it to my 20 year old daughter as a gift..............she loved it! I wish I would have bought another one for myself!,watch
B000HDHP80,4/4,5.0,"Very well built watch. Amazon's price can't be beat. Extremely accurate, my wife has had hers about three months and it's only gained a couple of seconds.Waterproof enough for showering and swimming, and tough enough to withstand the vigors of constant daily wear. I'ts been worn nearly every day and still looks new, not a scratch.The mother of pearl face shifts color very subtly as the watch moves, sometimes grayish sometimes blue-purplish. I think it looks very good with the polished case, and photos don't do it credit. The band has a hidden clasp which gives it a nice finished look when closed.It's just slightly larger than the majority of women's watches, but that makes it more useful and easier to read.I wanted a good reliable watch for my wife, one that looked good and was functional as well. The Alpenrose is that and accurate too.",watch
B0006AAS4M,0/0,1.0,"worst watch ever. got this item thinking it was a bargin, and looked good. Turns out the stem will fall out on it's own, and need to be replaced by invicta at a cost of 28$. Got that done, and 3 weeks later it fell out again. I will never buy another Invicta watch ever!",watch
B0009NX3F2,0/0,5.0,"My nine year old granddaughter loves this watch! It fits her small wrist perfectly. It was impossible to find a child's watch in the stores. This watch has a second hand and glows when you push a button. It is great. She would not part with it! I truly recomend it to all little girls. It is very much like a nurses watch and it is battery opperated. JW Dyer, IN",watch
B000I7DT6M,0/0,5.0,"I wanted a small watch that didn't draw attention to itself, and this is it. I like the way it hugs the curve of my wrist and the easy-to-read dial with its contrasting-color hands.",watch
B000GGOGUI,5/5,5.0,"I spent almost 4 months cruising the offerings on Amazon, Overstock, ShopNBC and various department stores looking for exactly the right watch for me, considering elements of style/image, materials, some prestige, a strong price/value relationship, and quality and found Victorinox Swiss Army to be unsurpassed. It is ruthlessly masculine, with none of the gender equivocation and frilliness of oversized watches, shiny metals, or the implied fragility of 'dressy' models; I like the matte finish, lightness and strength of titanium; ""Swiss Made"" on the dial trumps anything that is not-regardless of price; at $139 it's a bargain (unfortunately, a ripoff at the $325 list); the accuracy is consistant, and it's rugged enough to take the shock from the heavy recoil of large caliber magnum firearms. Gentlemen, look no further, this is your watch.",watch
B000ETYF58,5/6,5.0,"I did a lot of research before buying this watch. I was somewhat reticent to buy it due to the posts I've read about the crystal cracking and a few noting bad customer service. Still, the price was right and it looks great, and I know two people who have Skagens and they love them, so I took a chance. It truly is a great looking watch. It's so thin and has a classic look. It wears well with a suit and with jeans. I haven't seen any issue with it losing time...it's precise. I will definitely buy another Skagen.",watch
B000EH26BK,0/0,4.0,"Bought this for night/dark time use. I'm 61 and my ""glow-in-the-dark"" watches don't cut it after about 2 hours for my tired eyes. This watch rocks! It even lights up the inside of my dresser, it's so bright. Only draw-backs are the dial is a bit on the small side compared to my usual watches, and the band could be longer (I'm using the last hole). So if your wrist isn't to large and you want to tell the time in the dark, whether it's outside or in a theatre, this one will do the job.",watch
B000E8FG20,67/72,5.0,"The most amazing thing about this watch is that it actually seems to work. I received the newer model which doesn't have any button issue or such and is mechanically very well built. The overall design is not vary stylish, but I don't think that's the point. It looks fine so you might wear it all day or just at night. When I use the watch it may wake me up to 30 minutes earlier than the normal alarm is set, occasionally if sleeping very soundly it just goes off at the set time, which means it never found a better time to wake me up within the window I set. It also logs any major movements I have at night so I look forward to checking the next day especially if I feel extra good or bad or once my dog woke me up and I could see that point too. I never seem to get enough sleep so waking up at a good point in the morning is important to me and this watch tells me exactly when. I'm very happy with it.",watch
B0007RTCBO,1/2,5.0,"I give this product a5 star! The quality was absoultly wonderful, with an exceptional value! I would definitly share my experience shopping online with amazon, with my friends and family!",watch
B000RNPJII,3/5,1.0,"Got the watch off amazon, it looked ok to begin with , but it failed to work within 7 months. I've had many watches in my life, but none, even the $30 ones, were not of such poor quality. I checked out the Sturhling service center and unlike other companies, that stand behind their product, Sturhling wants the customer to pay them a flat rate of $20 and pay for shipping back and forth , EVEN IF THE WATCH IS COVERED BY WARRANTY ! So you pay for their poor build quality, that's a sweet deal for them, no? It also takes 2 MONTHS !!! to get it fixed.Overall , worst watch I've ever owned, worse than my $30.00 Timex.( who's 3 years old, working strong). Swiss quality my a**. BTW, the watch is not made is Switzerland, but somewhere in Asia. Shame on you Sturhling, you bunch of schemers. Would strongly argue against buying this watch and urge prospective buyers to look at other, more established ( and more reliable) brands.",watch
B000GB0G7A,0/0,5.0,great price nnn nn nnn nnnn nnn nn nnn nnnnnn nnnnnn nnn nnnnnnnnn nnnnnnnnn nnnn nnn nnnn nn nn nn,watch
B0002NXNNG,0/0,5.0,"Bought this watch brand new in November 2003. The battery died around August 2009, and got it replaced for $40 at an authorized Tag Heuer dealer.Incredibly accurate watch, probably loses around a second every 2 months.Stylish, you can turn off all digital displays, so it only displays a black face. I love this!You also have the chronograph, count-down timer, and alarm functions, and a second timezone. It also displays the date/year, and it has a perpetual calendar built in too!Pushing the crown in, turns on the backlight for viewing in the dark.Only thing I don't like, is the ratchet bezel is really hard to turn. I have an Omega Seamaster Pro, and the bezel is much pleasant to turn.Other than that, extremely tough, reliable, and accurate watch.",watch
B0006BE5HC,0/0,5.0,"I am very happy to rec. this watch, I always want to own a Seiko watch, I know that they are very good watch. My SKX009 arrived in a nice blue box, and my watch is bradnew. I own it for about one week already, and worry about accuratcy. So far it is very accurate, I am looking for a watch that I can ware every day that tuff, strong, and look good for long time. This one is. It feel good and heavy the way good watch should be. I like the red, white, blue color, and polish on some part of the watch. It looks like Rolex, and Omaga that I also like, but $1,000's lower, and I think it has as good quality as expensive watch. I think Seiko made automatic watch for long time, you can't go wrong with this one.For Amazon.com thank you for help me own a great watch with such good price because I only paid $156 in cluding S&H; no taxI will but from you again.People told me buy watch online can be bad, or get a use watch. From Amazon.com I got a new watch as my wish.** after i us it for a few months I notic that it run a little faster than my other wathchs, around one minues a day. I don't like this at all",watch
B000AYW0LI,0/0,3.0,"If you're thin to normal weight, this is a nice watch. I'm a bit overweight. I like the look of this watch very much, but the wristband is too small for me to wear comfortably.",watch
B000GAYQU4,0/0,5.0,this watch is simple and awesomei never took it off even when i take a showerits lite and water resistantcannot go wrong for 10 bucks,watch
B0006AAS5Q,0/0,5.0,this watch work good and look good; I'm glad I bought it. I just had to get the watch band adjusted.,watch
B0006IHHMU,3/3,5.0,"This is an incredible deal for the money! The Seiko Massive Dive Watch is tough, dependable, and well designed. Automatic, so it never needs batteries, this watch is a ""massive"" chunk of steel, which may take little while getting used to wearing. The face and hands are extremely well designed for easy readablity... day, night, underwater, on dry land, skydiving, whatever. The large luminous markers and fat luminous hands make for very quick reading. The domed mineral crystal prevents the ""mirror effect"" that many dive watches experience underwater. The sweep second offers a nice ""touch of class"", and day (in English or Spanish) and date are quite legible.I have more expensive watches (Swiss Army Men's Maverick II Chrono watch #24144 for example) and ""classier"" watches (Citizen Men's Calibre 8651 Gold-Tone Watch #AP1022-51Afor example) and ""cooler"" watches (Black Ops, Khaki Dial, Black PU Strap andTechnomarine Men's Marvel Comics The Punisher Black Rubber Watch #TSMVPfor example), but the Massive ""Black Monster"" Dive watch is my everyday ""go to"" watch.",watch
B000B52548,0/0,5.0,"I have had this watch now for a year and a half. About three weeks ago I ""lost"" it. Searched everywhere - or so I thought and then found it in a pocket of a pair of shorts. Clean shorts... in my drawer, washed and dried. It had gone through a complete Maytag wash and dryer cycle and still works great! Oh yes, the watchband is nice and clean now as well. If it does wear out I'd surely get another.",watch
B00020J16M,0/0,5.0,"Great price and a great watch for workouts. Easy to use. Battery was a bit tough to replce (don't leave the chronographer running - it quickly wears the battery out), but other than that - I would highly recommend the watch.",watch
B000GAYQJK,0/0,5.0,"muy buen producto.. lo recomiendo, muy buena calidad, excelente material, buen empacado, y muy buen precio. seria interesante conseguir mas productos a buen precio, y poder traerlos al pais.",watch
B0007X9F74,1/1,5.0,"I own several Skagen watches. These are a great value for your dollar. I particularly like the mesh band. Easy to adjust and doesn't pinch. These watches are designed to appear ultra thin and they do just that. Very classy, stylish look and they keep excellent time. If you are tired of wearing a 2lb computer on your wrist...get one of these, you won't be sorry.",watch
B000G29B7U,0/0,5.0,HIGH QUALITY APPEARANCE. LOOKS MORE EXPENSIVE THAN IT IS. LIGHT-WEIGHT AND DOESN'T SPIN AROUND WRIST. LOOKS BETTER THAN PICTURE. DATE WINDOW COULD BE BIGGER.,watch
B000980RYW,0/0,5.0,"exactly what i wanted for a gift for a friend. the price was right, the quality was great and they loved it",watch
B000EJNL8U,1/4,5.0,"Saved a ton on the Australian Retail price and it was on my doorstep in 4 days. Great service, all the certificates and warranties. Happy customer",watch
B000BU5SDI,0/0,5.0,"this is one of the best watches i ever had, is so very well made and the rubber strap is so retro, is jus a really fashion watch,",watch
B000LE27I8,1/2,1.0,I ordered a watch from this company. It would not run and I returned it. That was 3 months ago and I still have not been able to get a refund!,watch
B000N7X98K,0/0,4.0,"This watch is great, it looks great, works great and fits great. shipping was fast too.",watch
B000EQU02S,2/2,5.0,"I love this watch! This is my 2nd eco-drive, the other being the Black Leather Strap BM8240 which I also like!BL5250 keeps great time, and I really like all the features, especially the chronograph. And no more grabbing a watch after a while to find the battery dead! - Just have to remember to leave it where there's SOME light so it won't go completely dead. I also really like the color of the titanium. I've seen a friend's Eco-Drive not recover well after being completely depleted, but the watch was also 6-7 years old...I disagree with a couple of other reviewers:1) Chronograph is not useless. I've used to to time my sump pump and clock 0-60 mph time of my car! :)2) Alarm is audible even to me whose hearing is not so keen after years of loud guitar playing. I would agree that it wouldn't be a good wake up alarm, tho.3) Bezel turned fine right out of the box.So maybe Citizen has addressed couple of these issues?I do agree with a couple of other reviewers:1) It is pretty BIG and still fairly heavy. But big watches are in fashion these days, so it's really not a big deal.2) I DON'T have ""chubby wrist"" (just the opposite!) as someone else put it, but the knob does get turned and the watch goes into the wrong mode.A ""day of the week"" indicator feature would have been a nice addition...Neither of these issues keeps me from wearing this watch everyday.",watch
B000JL23UU,0/0,5.0,"I must say that I bought it because of the butterflies.It s really cool and it s not big as I read in other comments( and I don t have big hand).Well, I think it s how everyone it s used to wear watches but I am very very pleased of it.",watch
B000I5OWU6,1/2,5.0,"Extremely pleased with the product, it is a pleasure to wear and a true omega",watch
B000H6759Q,0/0,5.0,"This watch has everything I need. Digital display with time and date. INDIGLO lighting with and easy touch button. 3 alarms. It is easy to set. I like the small compact size, unlike those bulky, oversized digitals. Unlike another review that I read, I can hear the alarm easily. However, if my arm is under the pillow and I miss it, it repeats itself after 5 minutes several times. If the compass is important, which it isn't to me, you will be disappointed. It is useless so I cut it off and threw it away.",watch
B0000C9ZBW,0/0,4.0,"The appeal for me was the super-clean design.The watch as shipped has ""titanium mesh"" in white letters at about 4pt size on the face around the 6 o'clock marker. I probably would have chosen a different design if I had known.Otherwise it's a pretty straightforward replacement of my previous two similar watches.",watch
B000E48PEU,0/0,5.0,"I just recieved my brand new Tag heuer and it's amazing! like others TH watches, but it didn't come with International Warranty Card, so I can't go outside USA cause if my watch get damage I can't do anything with it. The bad news is that in fact I did not live at USA, so I have to pray so much...PD: that's my 2nd Tag Heuer Watch and NEVER HAVE happen anything about it's quality, even I do live beside the sea.",watch
B000EQRYPO,1/1,5.0,"This was a Christmas gift and I absolutely love it. The black on white design makes it extremely easy to read and it looks great.Setting the watch was a bit time consuming but following the steps in the included DVD made it easy to do. LOVE the perpetual calendar. Having just come out of February, this is the only watch I have that I did not have to adjust the date on. I'm still amazed at how long the hands glow in the dark. No light but who needs one!This was my first deployment clasp watch and it took me a while to figure out how to size it, but once I did, I had to laugh because it was so simple. On the underside of the silver bar that goes across the band, there's a little piece that flips up so that you can adjust which hole it engages. The band takes a bit of getting used to, but I now find it very comfortable and easy to use.Love the eco-drive concept. No batteries AND no watch winder. Ambient light seems to be enough to keep it going - I haven't made any special efforts to keep my wrist in the sunlight or anything :). It even has a warning when the charge is low - or so I've read - haven't seen it - where the second hand starts moving every OTHER second (still keeping proper time), so that you can see if it's getting low.Overall, I think that this is a unique and fine looking watch. I've recieved compliments every time I've worn it.",watch
B000GAYQKY,0/0,5.0,"Casio Men's G-Shock Digital Watch #DW5600E-1VAwsome watch , this is my second G-Shock and many more to come.This is a old school G-shock with great style.Fits well ,Reads well & Cheap too :)",watch
B0000C9ZD1,0/0,4.0,"I am so hard on watches and this watch has made it through it all. I LOVE my Skagen and probably will never buy another brand of watch.My particular one is fairly water resistant, I've splashed water in and near it, and even put my hand into the turtle tank once when I had to get the turtle out when the lightbulb got wet, exploding sharp glass all over. I didn't have a moment to take off the watch, so in it went. It came out fine. I do not usually immerse this watch although I don't take it off to wash my hands or scrub dishes before they go into the dishwasher. I wouldn't immerse it often though.In 5 years of ownership, I wore this watch almost every day for the first 4. Then I bought 2 more Skagen watches to expand my ""wardrobe."" That should tell you something right there. Here's my analysis:Pros:*Many Skagens have this mesh bracelet. It is WONDERFUL and I can't say enough about it. Hypoallergenic, breathable like no other band. I'm allergic to everything, my skin is so acidic it will literally eat the chrome finish off of things. Not so with this watch, since it's surgical stainless steel.*In 4 years, I have had to replace the battery once. Great battery life.*Attractive, gets comments.*Flashy flat glass gets attention and if you can't read, just tilt to angle and it works great.*Love the sparkly little crystals.*Matching brushed silver face.*Easily adjustable band. Takes a small screwdriver to pry up the clamping clasp. Easy.*Good locking safety clasp. If the catch gets loose, just give it a little pressure from pliers and it becomes tight again.*Super low profile. Sits close to your wrist which helps out on the first ""con""Cons:*All Skagens have low-quality glass. It does chip, scratch, etc. I'm very hard on watches so it's definitely taken some abuse. It still looks good though-- that was the only thing that made it lose a star. I wish Skagen had a more expensive line with real sapphire crystals, I'd be willing to pay more. They are WORTH IT.*No second-hand.",watch
B0006AAS5Q,0/0,5.0,"Got this within 2 days from the time of order, super fast shipping, works great, very pleased. Am hoping the golden plating will last. I will try not to wear it daily and order a stainless steel for daily use. Thank you very much. Great product, great service. My wife also has real Rolex Daytona that seems to be identical match on the outside, except Invicta has a calendar date and Rolex does not.",watch
B000BK96Q8,1/1,5.0,"I own this watch, it's been nothing but perfect in form and function, altho it has the sapphire crystal and display back, it is better suited to someone who is a little tougher on their watches than most. It's a little thicker and heavier than the plastic (Hesalite)crystal versions, without having to polish the plastic all the time. The sapphire display back is a visual to the stunning mechanical movement. There are many who want to keep the Speedy in it's true form of Hesalite crystal and steel back, but these new ones are a step up in my opinion for someone who will wear it daily, the crystal will remain flawless for life and no polishing of the crystal needed. The 863 movement is the same as the 861 except for the Delrin (nylon)Brake. The exibition backed Speedys use a metal brake for appearance, so you don't see a piece of plastic in such an expensive watch. Since I'm not going to do any space travel in the near future the Sapphire Crystal is definately the way to go for scratch resistance and durability and they are heavier which I like. It's a good investment and a beauty to see the movement in motion with the sapphire back. Omega quality at it's finest in a timeless design, it's simply the perfection of form and function in a timepiece. I bought it from Amazon over a year ago and has been stellar thus far.",watch
B000GB1RBY,0/0,5.0,"solid and reliable, i've had these since I was a kid! nice and small size. the quick timers on top are really useful. only function it doesn't have is the light up face.",watch
B000AYYIYK,0/0,4.0,"Product was exactly as advertised, works fine, and shipping was fast. I know everybody has a clock in their cell phones now, but a wristwatch is a convenient way to check the time with a glance.",watch
B000E8J50Y,0/0,5.0,"this is a great watch, it had more features on it than were mentioned in the online details. It was as I expected it to be and more!The recipient of this item loves it, he hasn't taken it off since Christmas day apparently!! I'm in U.S., recipient in England and it was great to know that it was just what was wanted.",watch
B0007N53NO,0/0,4.0,"It a good watch, but the the dial doesn't look nice, and at night doesn't bright.",watch
